samp_country,category,fermented_food_type,sample_id,absolute-filepath
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/f6aaaf11-7ac9-4898-8003-ee5ba28a2bf3.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/02724c70-4c6b-4b2a-be0e-ecb7a79eb025.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/899aac7c-4887-41b1-a58d-c3f72529bc26.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/603a84fa-47d2-4866-873b-2e7243c56cd2.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/0ddfd979-2d14-4565-a075-d1d5dc48f796.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/a050cf9b-c931-45d0-9464-1035107d3cf6.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/772c8159-0754-41f1-82e8-fe200f4947ed.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/c16d337a-9741-44f0-8147-d330e5e4a738.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/19c6add1-93a7-4c59-9a74-b5cdac774f62.fasta
Laos,fermented fish,Fermented_fish_sauce,MS003-2,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/MS003-2/dad5f12a-e6b2-42a8-8d04-5d9feca39fd1.fasta
